month,STI_Close_Mean,STI_Close_Last
2015-01-01,3353.93,3391.20
2015-02-01,3424.26,3402.86
2015-03-01,3404.72,3447.01
2015-04-01,3491.63,3487.39
2015-05-01,3449.13,3392.11
2015-06-01,3325.48,3317.33
2015-07-01,3316.89,3202.50
2015-08-01,3039.84,2921.44
2015-09-01,2862.12,2790.89
2015-10-01,2984.07,2998.35
2015-11-01,2939.36,2855.94
2015-12-01,2863.42,2882.73
2016-01-01,2654.75,2629.11
2016-02-01,2611.95,2666.51
2016-03-01,2829.82,2840.90
2016-04-01,2872.92,2838.52
2016-05-01,2764.23,2791.06
2016-06-01,2794.19,2840.93
2016-07-01,2904.18,2868.69
2016-08-01,2852.05,2820.59
2016-09-01,2851.18,2869.47
2016-10-01,2843.95,2813.87
2016-11-01,2824.68,2905.17
2016-12-01,2922.77,2880.76
2017-01-01,3002.99,3046.80
2017-02-01,3088.94,3096.61
2017-03-01,3144.43,3175.11
2017-04-01,3163.99,3175.44
2017-05-01,3229.84,3210.82
2017-06-01,3234.25,3226.48
2017-07-01,3279.18,3329.52
2017-08-01,3289.26,3277.26
2017-09-01,3226.37,3219.91
2017-10-01,3315.70,3374.08
2017-11-01,3408.26,3433.54
2017-12-01,3416.89,3402.92
2018-01-01,3533.92,3533.99
2018-02-01,3468.75,3517.94
2018-03-01,3481.03,3427.97
2018-04-01,3505.49,3613.93
2018-05-01,3532.90,3428.18
2018-06-01,3361.42,3268.70
2018-07-01,3268.93,3319.85
2018-08-01,3251.68,3213.48
2018-09-01,3177.39,3257.05
2018-10-01,3094.77,3018.80
2018-11-01,3071.78,3117.61
2018-12-01,3085.25,3068.76
2019-01-01,3166.35,3190.17
2019-02-01,3237.20,3212.69
2019-03-01,3210.31,3212.88
2019-04-01,3335.91,3400.20
2019-05-01,3227.88,3117.76
2019-06-01,3240.27,3321.61
2019-07-01,3357.18,3300.75
2019-08-01,3140.48,3106.52
2019-09-01,3151.28,3119.99
2019-10-01,3134.93,3229.88
2019-11-01,3234.73,3193.92
2019-12-01,3199.08,3222.83
2020-01-01,3237.55,3153.73
2020-02-01,3171.60,3011.08
2020-03-01,2629.79,2481.23
2020-04-01,2549.61,2624.23
2020-05-01,2552.78,2510.75
2020-06-01,2663.86,2589.91
2020-07-01,2619.50,2529.82
2020-08-01,2545.32,2532.51
2020-09-01,2493.81,2466.62
2020-10-01,2520.36,2423.84
2020-11-01,2719.47,2805.95
2020-12-01,2839.70,2843.81
2021-01-01,2955.98,2902.52
2021-02-01,2919.35,2949.04
2021-03-01,3098.02,3165.34
2021-04-01,3195.76,3218.27
2021-05-01,3143.54,3164.28
2021-06-01,3143.86,3130.46
2021-07-01,3144.68,3166.94
2021-08-01,3134.12,3055.05
2021-09-01,3076.75,3086.70
2021-10-01,3153.27,3198.17
2021-11-01,3216.26,3041.29
2021-12-01,3113.87,3123.68
2022-01-01,3244.59,3249.59
2022-02-01,3382.65,3242.24
2022-03-01,3306.02,3408.52
2022-04-01,3359.64,3356.90
2022-05-01,3233.39,3232.49
2022-06-01,3152.46,3102.21
2022-07-01,3145.10,3211.56
2022-08-01,3255.79,3221.67
2022-09-01,3223.65,3130.24
2022-10-01,3064.47,3093.11
2022-11-01,3217.70,3290.49
2022-12-01,3257.68,3251.32
2023-01-01,3302.68,3365.67
2023-02-01,3327.66,3262.63
2023-03-01,3210.38,3258.90
2023-04-01,3302.25,3270.51
2023-05-01,3220.39,3158.80
2023-06-01,3205.62,3205.91
2023-07-01,3244.63,3373.98
2023-08-01,3243.17,3233.30
2023-09-01,3225.68,3217.41
2023-10-01,3135.04,3067.74
2023-11-01,3112.52,3072.99
2023-12-01,3120.81,3240.27
2024-01-01,3170.58,3153.01
2024-02-01,3170.19,3141.85
2024-03-01,3172.53,3224.01
2024-04-01,3230.35,3292.69
2024-05-01,3306.28,3336.59
2024-06-01,3321.07,3332.80
2024-07-01,3443.05,3455.94
2024-08-01,3338.00,3442.93
2024-09-01,3550.34,3585.29
2024-10-01,3592.89,3558.88
2024-11-01,3700.57,3739.29
2024-12-01,3785.66,3787.60
2025-01-01,3810.89,3855.82
2025-02-01,3885.89,3895.70
2025-03-01,3904.46,3972.43
2025-04-01,3725.42,3832.51
2025-05-01,3879.46,3894.61
2025-06-01,3918.08,3964.29
2025-07-01,4134.41,4173.77
2025-08-01,4232.14,4269.70
